x; E_r; E_phi; E_z;  
0.01;0.18993061791630336;0.18993129877051856;0.0013387954932405936; 
0.060404040404;0.18952378128504266;0.18954860604430557;0.008078460284167022; 
0.110808080808;0.18853619703116045;0.18861959655535437;0.01478206372407424; 
0.161212121212;0.18697231664373343;0.18714837307306495;0.02141970025040929; 
0.211616161616;0.18483918676878577;0.18514143046725942;0.027961791448212436; 
0.26202020202;0.1821464140954766;0.18260762367352035;0.03437923263098161; 
0.312424242424;0.1789061174977664;0.17955812403008162;0.04064353695489893; 
0.362828282828;0.17513286768146194;0.17600636421286805;0.04672697631663437; 
0.413232323232;0.17084361465171902;0.17196797205438605;0.05260271830216645; 
0.463636363636;0.1660576033795668;0.16746069358975277;0.05824495847520501; 
0.51404040404;0.16079627810747882;0.16250430572889693;0.06362904731875088; 
0.564444444444;0.1550831757931081;0.15712051900758314;0.06873161117194374; 
0.614848484848;0.14894380924672737;0.15133287092110964;0.07353066653648145; 
0.665252525253;0.14240554057135593;0.14516661039304035;0.0780057271623597; 
0.715656565657;0.13549744556473564;0.1386485739768943;0.082137903361293; 
0.766060606061;0.12825016978896356;0.1318070544310878;0.08590999303772226; 
0.816464646465;0.12069577705646031;0.1246716623463834;0.08930656397156611; 
0.866868686869;0.11286759111981207;0.1172731815404383;0.09231402693359103; 
0.917272727273;0.10480003138767369;0.10964341896557718;0.09492069926320487; 
0.967676767677;0.09652844351917034;0.10181504990347111;0.09711685858935414; 
1.01808080808;0.18684519117786805;0.09563458000034918;0.09576360897139514; 
1.06848484848;0.17444886569893317;0.09254357912789471;0.08914262370272806; 
1.11888888889;0.16320563507256153;0.08935661774765928;0.08313571963836852; 
1.16929292929;0.15296194225655071;0.08613097385331535;0.07766586188885005; 
1.2196969697;0.14359145614029994;0.08290852983836344;0.07266846173485142; 
1.2701010101;0.13498916595375665;0.07971980546909667;0.06808893585272492; 
1.32050505051;0.12706695711964155;0.07658686960770963;0.06388082122583437; 
1.37090909091;0.11975025287409351;0.07352546584086149;0.06000430319513174; 
1.42131313131;0.11297543371871292;0.07054657973057113;0.056425054461710485; 
1.47171717172;0.1066878321346407;0.06765760468331171;0.05311331078996562; 
1.52212121212;0.10084015799401184;0.06486321613493938;0.050043128782479525; 
1.57252525253;0.09539125012422334;0.06216603164984211;0.04719178506874521; 
1.62292929293;0.09030507748638529;0.05956711245238273;0.04453928632255794; 
1.67333333333;0.08554993328763476;0.057066346529431565;0.04206796687013403; 
1.72373737374;0.08109777960191746;0.054662742606218596;0.039762156068654034; 
1.77414141414;0.07692371042448608;0.052354656579549436;0.03760790167039205; 
1.82454545455;0.07300550868216368;0.05013996643997209;0.035592738422117756; 
1.87494949495;0.06932327835352715;0.04801620768262577;0.033705493451682215; 
1.92535353535;0.06585913706841098;0.045980678253187746;0.031936121754982755; 
1.97575757576;0.06259695773924204;0.04403051989435925;0.03027556645458737; 
2.02616161616;0.059522150200750724;0.04216278113539244;0.02871563955628; 
2.07656565657;0.05662147569533401;0.04037446595081965;0.02724891975507643; 
2.12696969697;0.05388288848048513;0.03866257119681127;0.025868664492162994; 
2.17737373737;0.05129539995576526;0.03702411523679676;0.024568733979225047; 
2.22777777778;0.04884896158602314;0.03545615963581438;0.02334352531719932; 
2.27818181818;0.046534363591607356;0.03395582539436558;0.022187915165649254; 
2.32858585859;0.04434314692754649;0.032520304877059314;0.0210972096842902; 
2.37898989899;0.04226752651405335;0.031146870346597123;0.020067100683170896; 
2.42939393939;0.04030032403451003;0.029832879822945534;0.01909362709305507; 
2.4797979798;0.038434908902851575;0.02857578083829979;0.018173141010737155; 
2.5302020202;0.03666514623425665;0.027373112541187114;0.017302277691688094; 
2.58060606061;0.03498535084232417;0.026222506510599573;0.016477928959527717; 
2.63101010101;0.03339024644103776;0.02512168656787357;0.015697219582285572; 
2.68141414141;0.03187492935755536;0.024068467815963588;0.014957486232351498; 
2.73181818182;0.03043483616748307;0.023060755089525195;0.014256258702918743; 
2.78222222222;0.029065714751990105;0.02209654096231505;0.013591243100576066; 
2.83262626263;0.027763598349245917;0.021173903428898678;0.012960306773110903; 
2.88303030303;0.026524782233845582;0.020291003353980194;0.012361464764841817; 
2.93343434343;0.02534580270929279;0.01944608176365834;0.011792867619953629; 
2.98383838384;0.024223418141936556;0.018637457037615098;0.011252790378221243; 
3.03424242424;0.02315459180141104;0.017863522048923275;0.01073962262787831; 
3.08464646465;0.022136476303733697;0.017122741288225378;0.010251859497789883; 
3.13505050505;0.021166399479701257;0.016413648001021307;0.009788093485997691; 
3.18545454545;0.020241851513843494;0.01573484136033613;0.009347007034515948; 
3.23585858586;0.01936047321857024;0.015084983691820847;0.008927365771287672; 
3.28626262626;0.018520045324793254;0.01446279776413161;0.008528012349738176; 
3.33666666667;0.017718478684645798;0.013867064154045091;0.008147860824609611; 
3.38707070707;0.016953805294310363;0.013296618693042597;0.007785891509915826; 
3.43747474747;0.016224170055694688;0.012750349999910874;0.0074411462710805175; 
3.48787878788;0.01552782320501296;0.012227197102161053;0.007112724208746411; 
3.53828282828;0.014863113344438393;0.011726147147676655;0.006799777696481946; 
3.58868686869;0.014228481020070105;0.011246233206902264;0.0065015087387605185; 
3.63909090909;0.013622452795645007;0.010786532165019644;0.006217165619225972; 
3.68949494949;0.01304363577685062;0.010346162702886649;0.005946039812456605; 
3.7398989899;0.01249071254585935;0.009924283364997543;0.005687463135256428; 
3.7903030303;0.011962436469900114;0.009520090712334183;0.005440805115987466; 
3.84070707071;0.01145762735138346;0.009132817557690302;0.005205470562653421; 
