x; E; dE; E_z;  
1.16929292929;0.17886967914339252;0.05061508143660185;0.07603494892531386; 
1.2196969697;0.17093258878437326;0.046159524980412724;0.07163895150406402; 
1.2701010101;0.16344886223347954;0.042229795728438844;0.0675963569678955; 
1.32050505051;0.15638266270988405;0.03874713866877645;0.06386788098126395; 
1.37090909091;0.14970206324992527;0.035646999722043826;0.060419908322091; 
1.42131313131;0.1433784926912618;0.03287605959033456;0.05722349675055793; 
1.47171717172;0.1373862773354549;0.030389966094238666;0.05425358465738194; 
1.52212121212;0.13170225903501923;0.028151583143459877;0.051488355372938104; 
1.57252525253;0.1263054748335041;0.026129626069047857;0.04890872308230102; 
1.62292929293;0.1211768865644478;0.02429758886868451;0.046497913986456314; 
1.67333333333;0.11629915129126499;0.022632894119493607;0.044241122690497875; 
1.72373737374;0.11165642535914537;0.021116214258969614;0.04212522847355851; 
1.77414141414;0.10723419628410405;0.019730925857866167;0.04013855957560902; 
1.82454545455;0.10301913783303039;0.018462667913479808;0.038270696252529705; 
1.87494949495;0.09899898453164824;0.01729898210355568;0.03651230533507754; 
1.92535353535;0.09516242253333614;0.016229018068051337;0.03485500054483412; 
1.97575757576;0.09149899433420539;0.015243290622393749;0.03329122398986575; 
2.02616161616;0.08799901526120561;0.014333478700234981;0.031814145171078764; 
2.07656565657;0.08465350001487244;0.013492258024391633;0.03041757454047707; 
2.12696969697;0.08145409783527033;0.012713161190236204;0.029095889211589697; 
2.17737373737;0.07839303509303522;0.011990460145879196;0.027843968865175168; 
2.22777777778;0.07546306429818071;0.011319067062855312;0.026657140246183948; 
2.27818181818;0.07265741867607028;0.010694450379639444;0.025531128930740665; 
2.32858585859;0.06996977158935902;0.010112563420141923;0.02446201726974232; 
2.37898989899;0.0673942001920271;0.009569783479272816;0.023446207600176426; 
2.42939393939;0.06492515279102315;0.009062859657045504;0.022480389965417447; 
2.4797979798;0.06255741946581107;0.008588868033757488;0.021561513708529496; 
2.5302020202;0.06028610555890836;0.008145173028524199;0.020686762403430946; 
2.58060606061;0.05810660770344082;0.00772939398489409;0.01985353167194019; 
2.63101010101;0.056014592098526016;0.007339376190514026;0.019059409503596365; 
2.68141414141;0.054005974781323976;0.00697316567066789;0.018302158752413946; 
2.73181818182;0.05207690367698923;0.006628987204086641;0.01757970153252351; 
2.78222222222;0.05022374223544244;0.006305225098517484;0.01689010527468248; 
2.83262626263;0.04844305448761789;0.006000406336922799;0.016231570239287264; 
2.88303030303;0.04673159137424915;0.0057131857658487715;0.015602418309895769; 
2.93343434343;0.0450862782178569;0.005442333047841473;0.015001082915277799; 
2.98383838384;0.043504203223821744;0.00518672114169677;0.01442609994838692; 
3.03424242424;0.041982606909618934;0.004945316109337763;0.013876099567993521; 
3.08464646465;0.04051887237276402;0.004717168077448525;0.013349798783525844; 
3.13505050505;0.03911051631801367;0.0045014032066514435;0.012845994736343135; 
3.18545454545;0.03775518077309901;0.004297216541804046;0.012363558601546712; 
3.23585858586;0.03645062542991248;0.004103865634568016;0.011901430043800395; 
3.28626262626;0.03519472055478086;0.003920664844305589;0.011458612168712001; 
3.33666666667;0.033985440417356634;0.003746980236027502;0.011034166918316822; 
3.38707070707;0.032820857192859716;0.0035822250049151556;0.01062721086526324; 
3.43747474747;0.03169913529699655;0.0034258553661667634;0.010236911365565454; 
3.48787878788;0.03061852611694391;0.0032773668568212046;0.00986248303437403; 
3.53828282828;0.029577363105392725;0.0031362910029996845;0.009503184513216118; 
3.58868686869;0.02857405720784073;0.0030021923118454955;0.009158315500657842; 
3.63909090909;0.027607092596176983;0.0028746655524796265;0.008827214021407716; 
3.68949494949;0.026675022684139082;0.002753333294643965;0.008509253911572768; 
3.7398989899;0.025776466402483142;0.002637843677475327;0.0082038425001499; 
3.7903030303;0.02491010471374531;0.002527868384127161;0.007910418468921075; 
3.84070707071;0.02407467734828101;0.002423100800802571;0.007628449874766178; 
3.89111111111;0.023268979744902836;0.0023232543412432124;0.007357432320038029; 
3.94151515152;0.022491860180899603;0.002228060919884052;0.007096887258088761; 
3.99191919192;0.021742217077539153;0.002137269558778265;0.006846360422319618; 
4.04232323232;0.02101899646834463;0.00205064511505601;0.006605420368266407; 
4.09272727273;0.020321189618505958;0.0019679671171372783;0.00637365711924761; 
4.14313131313;0.019647830784757955;0.001889028699199605;0.006150680907007748; 
4.19353535354;0.018997995105933273;0.0018136356245290013;0.005936120999596889; 
4.24393939394;0.018370796615193224;0.0017416053893770567;0.005729624609450194; 
4.29434343434;0.017765386365660503;0.0016727663998257337;0.005530855875279077; 
4.34474747475;0.017180950661833796;0.0016069572149387935;0.00533949491196652; 
4.39515151515;0.016616709389759194;0.0015440258501674584;0.0051552369231805395; 
4.44555555556;0.01607191443947693;0.0014838291355891793;0.004977791371889193; 
4.49595959596;0.015545848213756682;0.001426232124101458;0.004806881204382955; 
4.54636363636;0.01503782221758589;0.0013711075451759017;0.004642242123791158; 
4.59676767677;0.014547175723289089;0.0013183353002083934;0.0044836219094232; 
4.64717171717;0.014073274506533224;0.0012678019958853777;0.00433077977857599; 
4.69757575758;0.013615509648820185;0.0012194005123296037;0.004183485787730484; 
4.74797979798;0.013173296402384281;0.001173029603095601;0.004041520270314824; 
4.79838383838;0.01274607311370396;0.0011285935243602622;0.0039046733084430224; 
4.84878787879;0.012333300202103529;0.0010860016909004018;0.0037727442362477303; 
4.89919191919;0.0119344591901668;0.0010451683566705743;0.0036455411726166146; 
4.9495959596;0.011549051782910491;0.0010060123179934065;0.0035228805813154; 
5.0;0.01117659899287365;0.0009684566375537394;0.003404586856638833; 
