x; E_r; E_phi; E_z;  
1.01808080808;0.19379172696345048;0.09730072121981222;0.0918503975008602; 
1.06848484848;0.18228195072797487;0.09528723133933704;0.08608057524606233; 
1.11888888889;0.17182263280443263;0.09306035200931513;0.08083056665822061; 
1.16929292929;0.1622702303850853;0.09068969575682431;0.07603494892531386; 
1.2196969697;0.15350730578520158;0.08822787952520224;0.07163895150406402; 
1.2701010101;0.14543677379022096;0.08571482393481736;0.0675963569678955; 
1.32050505051;0.13797760576643495;0.08318087675790031;0.06386788098126395; 
1.37090909091;0.13106157931405177;0.08064910884922744;0.060419908322091; 
1.42131313131;0.12463078913331566;0.07813701978327846;0.05722349675055793; 
1.47171717172;0.11863571945114124;0.07565781724061041;0.05425358465738194; 
1.52212121212;0.1130337358031267;0.07322138511937196;0.051488355372938104; 
1.57252525253;0.10778789353905009;0.07083502197246504;0.04890872308230102; 
1.62292929293;0.10286598806832367;0.06850400835726449;0.046497913986456314; 
1.67333333333;0.09823979143406475;0.06623204561452263;0.044241122690497875; 
1.72373737374;0.09388443383000675;0.0640215972389958;0.04212522847355851; 
1.77414141414;0.08977789884076541;0.06187415589439308;0.04013855957560902; 
1.82454545455;0.08590060863414425;0.059790453273310534;0.038270696252529705; 
1.87494949495;0.08223508084595954;0.057770625739861636;0.03651230533507754; 
1.92535353535;0.0787656430153796;0.055814345559543385;0.03485500054483412; 
1.97575757576;0.07547819353215804;0.05392092519877418;0.03329122398986575; 
2.02616161616;0.07236000041586606;0.052089400442007876;0.031814145171078764; 
2.07656565657;0.06939953105425774;0.05031859676912587;0.03041757454047707; 
2.12696969697;0.06658630742268579;0.04860718244681847;0.029095889211589697; 
2.17737373737;0.06391078239077841;0.04695371103338197;0.027843968865175168; 
2.22777777778;0.06136423357121031;0.045356655417509745;0.026657140246183948; 
2.27818181818;0.05893867183386549;0.043814435064853295;0.025531128930740665; 
2.32858585859;0.056626762138470975;0.04232543779934821;0.02446201726974232; 
